Query,Intent
I need a flight to Paris.,Flight_search
Book a hotel in London.,Hotel_search
Airport transfer to my hotel.,Transfers
Show me tours in Rome.,Tours
I need a flight and a hotel in NY.,Combined_searches
Find cheap hotels in Paris.,Hotel_search
Book a flight to London tomorrow.,Flight_search
Arrange airport transfer.,Transfers
What tours are available in Rome?,Tours
What are the best tours in Dubai?,Tours
I need a flight and hotel for my honeymoon.,Combined_searches
I want to book a hotel near the beach.,Hotel_search
Find flights to New York next week.,Flight_search
Book a taxi from the airport.,Transfers
Show me day tours in Rome.,Tours
I need a flight and hotel for a business trip.,Combined_searches
I'm looking for a luxury hotel in Paris.,Hotel_search
Find direct flights to Amsterdam.,Flight_search
Book a shared airport transfer.,Transfers
Show me food tours in Rome.,Tours
I need a flight and hotel for a weekend getaway.,Combined_searches
Find flights to Los Angeles.,Flight_search
Book a hotel in Barcelona.,Hotel_search
Arrange a transfer to the city center.,Transfers
What tours are available in London?,Tours
I need a flight and hotel in Paris.,Combined_searches
Find cheap hotels in London.,Hotel_search
Book a flight to Rome tomorrow.,Flight_search
Arrange airport pickup.,Transfers
What tours are available in Paris?,Tours
I need a flight and hotel in Madrid.,Combined_searches
I want to book a hotel in Barcelona.,Hotel_search
Find flights to Rome next week.,Flight_search
Book a transfer to the hotel.,Transfers
Show me popular tours in London.,Tours
I need a flight and hotel in Amsterdam.,Combined_searches
I'm looking for a budget hotel in Paris.,Hotel_search
Find the cheapest flights to Rome.,Flight_search
Book a private car transfer.,Transfers
What are the best tours in Rome?,Tours
I need a flight and hotel for a family vacation.,Combined_searches
I want to book a hotel near the airport.,Hotel_search
Find flights to London next month.,Flight_search
Book a taxi to the hotel.,Transfers
Show me day tours in London.,Tours
I need a flight and hotel for a relaxing trip.,Combined_searches
I need a flight to Tokyo.,Flight_search
Book a hotel in Berlin.,Hotel_search
Airport transfer to the city center.,Transfers
Show me tours in Venice.,Tours
I need a flight and hotel in Sydney.,Combined_searches
Find cheap hotels in Rome.,Hotel_search
Book a flight to Amsterdam tomorrow.,Flight_search
Arrange airport transportation.,Transfers
What tours are available in Paris?,Tours
I need a flight and hotel package to London.,Combined_searches
I want to book a hotel in Barcelona.,Hotel_search
